"EKT snow model initialization file to be used as DEBAM input"
layerdepth layerthickness layerdensity layertemperature
0.0250 0.0500 350.0262 -29.9609
0.0750 0.0500 350.0262 -29.7710
0.1250 0.0500 350.0262 -29.5811
0.1750 0.0500 350.0262 -29.3912
0.2250 0.0500 350.0262 -29.2013
0.2750 0.0500 350.0262 -29.0115
0.3250 0.0500 350.0262 -28.8216
0.3750 0.0500 350.0262 -28.6317
0.4250 0.0500 350.0262 -28.4418
0.4750 0.0500 350.0262 -28.2519
0.5250 0.0500 350.0434 -28.0620
0.5750 0.0500 350.0965 -27.8721
0.6250 0.0500 350.2524 -27.6822
0.6750 0.0500 350.6369 -27.4923
0.7250 0.0500 351.5385 -27.3024
0.7750 0.0500 354.0265 -27.1125
0.8250 0.0500 360.1634 -26.9226
0.8750 0.0500 374.5758 -26.7327
0.9250 0.0500 414.2983 -26.5428
0.9750 0.0500 397.7209 -26.3529
1.0500 0.1000 384.8414 -26.0681
1.1500 0.1000 474.7622 -25.6883
1.2500 0.1000 391.3053 -25.3085
1.3500 0.1000 372.1315 -24.9287
1.4500 0.1000 410.0972 -24.5489
1.5500 0.1000 372.1495 -24.1692
1.6500 0.1000 374.0071 -23.7894
1.7500 0.1000 377.0068 -23.4096
1.8500 0.1000 411.1475 -23.0298
1.9500 0.1000 380.5742 -22.6500
2.0500 0.1000 387.8168 -22.6380
2.1500 0.1000 384.0060 -22.6260
2.2500 0.1000 410.8416 -22.6140
2.3500 0.1000 475.7208 -22.6020
2.4500 0.1000 459.4416 -22.5900
2.5500 0.1000 422.4419 -22.5140
2.6500 0.1000 413.1345 -22.4380
2.7500 0.1000 453.4352 -22.3620
2.8500 0.1000 447.0045 -22.2860
2.9500 0.1000 441.5802 -22.2100
3.0500 0.1000 426.2917 -22.1720
3.1500 0.1000 416.8658 -22.1340
3.2500 0.1000 423.9888 -22.0960
3.3500 0.1000 466.2958 -22.0580
3.4500 0.1000 445.4340 -22.0200
3.5500 0.1000 439.9340 -21.9520
3.6500 0.1000 442.5703 -21.8840
3.7500 0.1000 446.1569 -21.8160
3.8500 0.1000 416.5736 -21.7480
3.9500 0.1000 485.9541 -21.6800
4.0500 0.1000 582.2651 -21.6000
4.1500 0.1000 516.3632 -21.5200
4.2500 0.1000 651.6390 -21.4400
4.3500 0.1000 457.5637 -21.3600
4.4500 0.1000 483.4403 -21.2800
4.5500 0.1000 457.0036 -21.2300
4.6500 0.1000 463.8553 -21.1800
4.7500 0.1000 557.5141 -21.1300
4.8500 0.1000 668.2082 -21.0800
4.9500 0.1000 495.1232 -21.0300
5.0500 0.1000 650.7941 -20.9800
5.1500 0.1000 752.6553 -20.9300
5.2500 0.1000 475.8708 -20.8800
5.3500 0.1000 550.3470 -20.8300
5.4500 0.1000 779.6033 -20.7800
5.5500 0.1000 622.4767 -20.7100
5.6500 0.1000 489.7067 -20.6400
5.7500 0.1000 507.1591 -20.5700
5.8500 0.1000 521.1017 -20.5000
5.9500 0.1000 717.6002 -20.4300
6.0500 0.1000 752.6553 -20.3960
6.1500 0.1000 541.6756 -20.3620
6.2500 0.1000 616.2614 -20.3280
6.3500 0.1000 480.4259 -20.2940
6.4500 0.1000 501.5724 -20.2600
6.5500 0.1000 508.0029 -20.1960
6.6500 0.1000 512.8562 -20.1320
6.7500 0.1000 550.9822 -20.0680
6.8500 0.1000 574.8919 -20.0040
6.9500 0.1000 514.2554 -19.9400
7.0500 0.1000 579.1773 -19.9040
7.1500 0.1000 514.8303 -19.8680
7.2500 0.1000 573.1024 -19.8320
7.3500 0.1000 482.0031 -19.7960
7.4500 0.1000 488.2838 -19.7600
7.5500 0.1000 507.4288 -19.7320
7.6500 0.1000 508.2947 -19.7040
7.7500 0.1000 523.6898 -19.6760
7.8500 0.1000 576.6718 -19.6480
7.9500 0.1000 516.8404 -19.6200
8.0500 0.1000 586.7105 -19.5780
8.1500 0.1000 681.9419 -19.5360
8.2500 0.1000 857.1548 -19.4940
8.3500 0.1000 729.2154 -19.4520
8.4500 0.1000 523.7000 -19.4100
8.5500 0.1000 556.8763 -19.4000
8.6500 0.1000 504.8594 -19.3900
8.7500 0.1000 514.1401 -19.3800
8.8500 0.1000 532.0027 -19.3700
8.9500 0.1000 535.9995 -19.3600
9.0500 0.1000 547.4300 -19.3520
9.1500 0.1000 551.0026 -19.3440
9.2500 0.1000 541.5815 -19.3360
9.3500 0.1000 518.4311 -19.3280
9.4500 0.1000 519.9310 -19.3200
9.5500 0.1000 521.8593 -19.3000
9.6500 0.1000 524.0028 -19.2800
9.7500 0.1000 536.2788 -19.2600
9.8500 0.1000 561.2927 -19.2400
9.9500 0.1000 549.2865 -19.2200
10.1000 0.2000 536.9364 -19.1960
10.3500 0.3000 537.5737 -19.1560
10.7000 0.4000 560.0025 -19.1450
11.1500 0.5000 632.8846 -19.1580
11.6500 0.5000 553.6556 -19.1420
12.1500 0.5000 564.5178 -19.0680
12.6500 0.5000 574.6449 -19.0400
13.1500 0.5000 564.8603 -19.0980
13.6500 0.5000 590.4295 -19.1680
14.1500 0.5000 651.9989 -19.1800
14.6500 0.5000 597.6485 -19.1050
15.1500 0.5000 578.4315 -19.0800
15.6500 0.5000 579.5737 -19.1300
16.1500 0.5000 651.9981 -19.1800
16.6500 0.5000 602.2912 -19.2300
17.1500 0.5000 621.1434 -19.2680
17.6500 0.5000 595.1468 -19.2880
18.1500 0.5000 611.4296 -19.3000
18.6500 0.5000 717.8531 -19.3000
19.1500 0.5000 620.1510 -19.3000
19.6500 0.5000 616.4299 -19.3000
20.1500 0.5000 628.4301 -19.3000
20.6500 0.5000 619.7169 -19.3000
21.1500 0.5000 625.7159 -19.3000
21.6500 0.5000 616.7169 -19.3000
22.1500 0.5000 640.7149 -19.3000
22.6500 0.5000 737.5678 -19.3000
23.1500 0.5000 698.1472 -19.3000
23.6500 0.5000 724.1423 -19.3000
24.1500 0.5000 669.1478 -19.3000
24.6500 0.5000 677.8578 -19.3000
25.1500 0.5000 681.0016 -19.3000
25.6500 0.5000 681.0016 -19.3000
26.1500 0.5000 681.0016 -19.3000
26.6500 0.5000 681.0016 -19.3000
27.1500 0.5000 681.0016 -19.3000
27.6500 0.5000 681.0016 -19.3000
28.1500 0.5000 681.0016 -19.3000
28.6500 0.5000 681.0016 -19.3000
29.1500 0.5000 681.0016 -19.3000
29.6500 0.5000 681.0016 -19.3000
30.1500 0.5000 681.0016 -19.3000
30.6500 0.5000 681.0016 -19.3000
31.1500 0.5000 681.0016 -19.3000
31.6500 0.5000 681.0016 -19.3000
32.1500 0.5000 681.0016 -19.3000
32.6500 0.5000 681.0016 -19.3000
33.1500 0.5000 681.0016 -19.3000
33.6500 0.5000 681.0016 -19.3000
34.1500 0.5000 681.0016 -19.3000
34.6500 0.5000 681.0016 -19.3000
