"SiteJ snow model initialization file to be used as DEBAM input"
layerdepth layerthickness layerdensity layertemperature
0.0250 0.0500 354.0000 -17.0568
0.0750 0.0500 354.0000 -17.0435
0.1250 0.0500 354.0000 -17.0302
0.1750 0.0500 354.0000 -17.0170
0.2250 0.0500 354.0000 -17.0037
0.2750 0.0500 354.0000 -16.9904
0.3250 0.0500 354.0000 -16.9772
0.3750 0.0500 329.0000 -16.9639
0.4250 0.0500 329.0000 -16.9506
0.4750 0.0500 351.0000 -16.9373
0.5250 0.0500 351.0000 -16.9241
0.5750 0.0500 335.0000 -16.9108
0.6250 0.0500 335.0000 -16.8975
0.6750 0.0500 335.0000 -16.8842
0.7250 0.0500 367.0000 -16.8710
0.7750 0.0500 367.0000 -16.8577
0.8250 0.0500 387.0000 -16.8444
0.8750 0.0500 387.0000 -16.8311
0.9250 0.0500 387.0000 -16.8179
0.9750 0.0500 407.0000 -16.8046
1.0500 0.1000 407.0000 -16.8364
1.1500 0.1000 753.0000 -17.0684
1.2500 0.1000 555.0000 -17.3004
1.3500 0.1000 600.0000 -17.5324
1.4500 0.1000 631.0000 -17.7644
1.5500 0.1000 688.0000 -17.9552
1.6500 0.1000 688.0000 -17.9812
1.7500 0.1000 448.0000 -18.0072
1.8500 0.1000 460.0000 -18.0332
1.9500 0.1000 659.0000 -18.0592
2.0500 0.1000 582.0000 -18.0688
2.1500 0.1000 582.0000 -18.0128
2.2500 0.1000 576.0000 -17.9568
2.3500 0.1000 858.0000 -17.9008
2.4500 0.1000 428.0000 -17.8448
2.5500 0.1000 403.0000 -17.7880
2.6500 0.1000 830.0000 -17.7280
2.7500 0.1000 809.5000 -17.6680
2.8500 0.1000 408.0000 -17.6080
2.9500 0.1000 653.5000 -17.5480
3.0500 0.1000 414.0000 -17.4796
3.1500 0.1000 414.0000 -17.3776
3.2500 0.1000 417.0000 -17.2756
3.3500 0.1000 420.0000 -17.1736
3.4500 0.1000 420.0000 -17.0716
3.5500 0.1000 424.0000 -16.9584
3.6500 0.1000 789.0000 -16.8004
3.7500 0.1000 624.0000 -16.6424
3.8500 0.1000 459.0000 -16.4844
3.9500 0.1000 431.0000 -16.3264
4.0500 0.1000 772.0000 -16.1884
4.1500 0.1000 858.0000 -16.1304
4.2500 0.1000 849.0000 -16.0724
4.3500 0.1000 671.5000 -16.0144
4.4500 0.1000 907.0000 -15.9564
4.5500 0.1000 858.0000 -15.8936
4.6500 0.1000 898.0000 -15.8116
4.7500 0.1000 858.0000 -15.7296
4.8500 0.1000 792.0000 -15.6476
4.9500 0.1000 659.0000 -15.5656
5.0500 0.1000 460.0000 -15.4816
5.1500 0.1000 491.0000 -15.3896
5.2500 0.1000 489.0000 -15.2976
5.3500 0.1000 459.0000 -15.2056
5.4500 0.1000 459.0000 -15.1136
5.5500 0.1000 462.0000 -15.0160
5.6500 0.1000 462.0000 -14.8960
5.7500 0.1000 535.0000 -14.7760
5.8500 0.1000 500.0000 -14.6560
5.9500 0.1000 500.0000 -14.5360
6.0500 0.1000 771.5000 -14.4256
6.1500 0.1000 879.0000 -14.3536
6.2500 0.1000 875.0000 -14.2816
6.3500 0.1000 858.0000 -14.2096
6.4500 0.1000 515.0000 -14.1376
6.5500 0.1000 515.0000 -14.0688
6.6500 0.1000 678.0000 -14.0128
6.7500 0.1000 494.0000 -13.9568
6.8500 0.1000 494.0000 -13.9008
6.9500 0.1000 521.0000 -13.8448
